DEDICACION,CATEGORIA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
exclusiva,Titular,1262025.73,1277170.03,1293773.24,1310592.29,1327629.98,1344889.16,1362372.71,1380083.55,1396644.55,1412007.64,1427539.72,1456090.51
exclusiva,Asociado,1123020.19,1136496.43,1151270.88,1166237.40,1181398.48,1196756.66,1212314.49,1228074.57,1242811.46,1256482.38,1270303.68,1295709.75
exclusiva,Adjunto,984505.76,996319.82,1009271.97,1022392.50,1035683.60,1049147.48,1062786.39,1076602.61,1089521.84,1101506.58,1113623.15,1135895.61
exclusiva,JTP,845496.42,855642.37,866765.72,878033.67,889448.10,901010.92,912724.06,924589.47,935684.54,945977.06,956382.80,975510.45
exclusiva,Ayudante de 1era,706344.71,714820.84,724113.51,733526.98,743062.83,752722.64,762508.03,772420.63,781689.67,790288.25,798981.42,814961.04
semiexclusiva,Titular,631013.96,638586.12,646887.73,655297.27,663816.13,672445.73,681187.52,690042.95,698323.46,706005.01,713771.06,728046.48
semiexclusiva,Asociado,561509.28,568247.39,575634.60,583117.84,590698.37,598377.44,606156.34,614036.37,621404.80,628240.25,635150.89,647853.90
semiexclusiva,Adjunto,492248.56,498155.54,504631.56,511191.77,517837.26,524569.14,531388.53,538296.58,544756.13,550748.44,556806.67,567942.80
semiexclusiva,JTP,422747.65,427820.62,433382.28,439016.24,444723.45,450504.85,456361.41,462294.10,467841.62,472987.87,478190.73,487754.54
semiexclusiva,Ayudante de 1era,353171.32,357409.37,362055.69,366762.41,371530.32,376360.21,381252.89,386209.17,390843.68,395142.96,399489.53,407479.32
simple,Titular,315506.16,319292.23,323443.02,327647.77,331907.19,336221.98,340592.86,345020.56,349160.80,353001.56,356884.57,364022.26
simple,Asociado,280750.82,284119.82,287813.37,291554.94,295345.15,299184.63,303074.03,307013.99,310698.15,314115.82,317571.09,323922.51
simple,Adjunto,246121.81,249075.27,252313.24,255593.31,258916.02,262281.92,265691.58,269145.57,272375.31,275371.43,278400.51,283968.52
simple,JTP,211371.37,213907.82,216688.62,219505.57,222359.14,225249.80,228178.04,231144.35,233918.08,236491.17,239092.57,243874.42
simple,Ayudante de 1era,176582.55,178701.54,181024.66,183377.98,185761.89,188176.79,190623.08,193101.18,195418.39,197567.99,199741.23,203736.05
simple,Ayudante de 2da,141268.33,142963.54,144822.06,146704.74,148611.90,150543.85,152500.92,154483.43,156337.23,158056.93,159795.55,162991.46
